🇨🇳央视(电信),#genre#
贵阳公共,http://10.0.0.1:1234/rtp/238.255.2.20:5999
贵阳生活,http://10.0.0.1:1234/rtp/238.255.2.22:5999
贵阳影视文艺,http://10.0.0.1:1234/rtp/238.255.3.201:5999
贵阳影视文艺,http://10.0.0.1:1234/rtp/238.255.2.22:5999
遵义综合,http://10.0.0.1:1234/rtp/238.255.3.206:5999
遵义综合,http://10.0.0.1:1234/rtp/238.255.2.153:5999
遵义公共,http://10.0.0.1:1234/rtp/238.255.3.207:5999
遵义公共,http://10.0.0.1:1234/rtp/238.255.2.152:5999
遵义都市,http://10.0.0.1:1234/rtp/238.255.3.208:5999
遵义都市,http://10.0.0.1:1234/rtp/238.255.2.154:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.3.131:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.216:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.201:5999
铜仁1,http://10.0.0.1:1234/rtp/238.255.3.217:5999
铜仁1,http://10.0.0.1:1234/rtp/238.255.2.31:5999
铜仁2,http://10.0.0.1:1234/rtp/238.255.3.218:5999
铜仁2,http://10.0.0.1:1234/rtp/238.255.2.87:5999
桐梓综合,http://10.0.0.1:1234/rtp/238.255.3.223:5999
桐梓综合,http://10.0.0.1:1234/rtp/238.255.2.162:5999
思南综合,http://10.0.0.1:1234/rtp/238.255.3.14:5999
思南综合,http://10.0.0.1:1234/rtp/238.255.2.218:5999
黔西综合,http://10.0.0.1:1234/rtp/238.255.3.222:5999
黔西综合,http://10.0.0.1:1234/rtp/238.255.2.161:5999
黔西南综合,http://10.0.0.1:1234/rtp/238.255.2.126:5999
黔西南综合,http://10.0.0.1:1234/rtp/238.255.3.209:5999
黔西南公共,http://10.0.0.1:1234/rtp/238.255.2.127:5999
黔西南公共,http://10.0.0.1:1234/rtp/238.255.3.210:5999
黔南1,http://10.0.0.1:1234/rtp/238.255.3.213:5999
黔南1,http://10.0.0.1:1234/rtp/238.255.2.150:5999
黔南2,http://10.0.0.1:1234/rtp/238.255.3.214:5999
黔南2,http://10.0.0.1:1234/rtp/238.255.2.151:5999
黔东南1,http://10.0.0.1:1234/rtp/238.255.3.219:5999
黔东南1,http://10.0.0.1:1234/rtp/238.255.2.179:5999
六盘水1,http://10.0.0.1:1234/rtp/238.255.3.202:5999
六盘水1,http://10.0.0.1:1234/rtp/238.255.2.115:5999
六盘水2,http://10.0.0.1:1234/rtp/238.255.3.203:5999
六盘水2,http://10.0.0.1:1234/rtp/238.255.2.116:5999
雷山综合,http://10.0.0.1:1234/rtp/238.255.3.221:5999
雷山综合,http://10.0.0.1:1234/rtp/238.255.2.128:5999
凯里综合,http://10.0.0.1:1234/rtp/238.255.2.180:5999
凯里综合,http://10.0.0.1:1234/rtp/238.255.3.220:5999
贵州人文,http://10.0.0.1:1234/rtp/238.255.3.197:5999
贵州人文,http://10.0.0.1:1234/rtp/238.255.3.106:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.219:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.217:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.202:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.163:5999
毕节1,http://10.0.0.1:1234/rtp/238.255.3.211:5999
毕节1,http://10.0.0.1:1234/rtp/238.255.2.131:5999
毕节2,http://10.0.0.1:1234/rtp/238.255.3.212:5999
毕节2,http://10.0.0.1:1234/rtp/238.255.2.132:5999
安顺综合,http://10.0.0.1:1234/rtp/238.255.3.215:5999
安顺公共,http://10.0.0.1:1234/rtp/238.255.3.216:5999
安顺1,http://10.0.0.1:1234/rtp/238.255.2.157:5999
安顺2,http://10.0.0.1:1234/rtp/238.255.2.158:5999

📡卫视(电信),#genre#
贵州卫视,http://10.0.0.1:1234/rtp/238.255.3.114:5999
贵州卫视,http://10.0.0.1:1234/rtp/238.255.3.150:5999
贵州卫视,http://10.0.0.1:1234/rtp/238.255.3.26:5999
安徽卫视,http://10.0.0.1:1234/rtp/238.255.0.42:8856
安徽卫视,http://10.0.0.1:1234/rtp/238.255.2.101:5999
安徽卫视,http://10.0.0.1:1234/rtp/238.255.3.163:5999
安徽卫视,http://10.0.0.1:1234/rtp/238.255.3.78:5999
北京卫视,http://10.0.0.1:1234/rtp/238.255.0.117:4248
北京卫视,http://10.0.0.1:1234/rtp/238.255.2.81:5999
北京卫视,http://10.0.0.1:1234/rtp/238.255.3.178:5999
北京卫视,http://10.0.0.1:1234/rtp/238.255.3.71:5999
北京卫视4K,http://10.0.0.1:1234/rtp/238.255.3.115:5999
北京卫视4K,http://10.0.0.1:1234/rtp/238.255.3.116:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.2.67:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.2.69:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.3.191:5999
兵团卫视,http://10.0.0.1:1234/rtp/238.255.3.61:5999
东方卫视,http://10.0.0.1:1234/rtp/238.255.0.114:4240
东方卫视,http://10.0.0.1:1234/rtp/238.255.2.98:5999
东方卫视,http://10.0.0.1:1234/rtp/238.255.3.167:5999
东方卫视,http://10.0.0.1:1234/rtp/238.255.3.70:5999
东南卫视,http://10.0.0.1:1234/rtp/238.255.0.43:8872
东南卫视,http://10.0.0.1:1234/rtp/238.255.2.103:5999
东南卫视,http://10.0.0.1:1234/rtp/238.255.3.170:5999
东南卫视,http://10.0.0.1:1234/rtp/238.255.3.79:5999
甘肃卫视,http://10.0.0.1:1234/rtp/238.255.2.73:5999
甘肃卫视,http://10.0.0.1:1234/rtp/238.255.3.182:5999
甘肃卫视,http://10.0.0.1:1234/rtp/238.255.3.52:5999
广东卫视,http://10.0.0.1:1234/rtp/238.255.0.118:4376
广东卫视,http://10.0.0.1:1234/rtp/238.255.2.59:5999
广东卫视,http://10.0.0.1:1234/rtp/238.255.3.176:5999
广东卫视4K,http://10.0.0.1:1234/rtp/238.255.3.112:5999
广西卫视,http://10.0.0.1:1234/rtp/238.255.2.64:5999
广西卫视,http://10.0.0.1:1234/rtp/238.255.3.187:5999
广西卫视,http://10.0.0.1:1234/rtp/238.255.3.48:5999
海南卫视,http://10.0.0.1:1234/rtp/238.255.2.58:5999
海南卫视,http://10.0.0.1:1234/rtp/238.255.3.192:5999
海南卫视,http://10.0.0.1:1234/rtp/238.255.3.47:5999
河北卫视,http://10.0.0.1:1234/rtp/238.255.0.151:9112
河北卫视,http://10.0.0.1:1234/rtp/238.255.2.77:5999
河北卫视,http://10.0.0.1:1234/rtp/238.255.3.175:5999
河北卫视,http://10.0.0.1:1234/rtp/238.255.3.90:5999
河南卫视,http://10.0.0.1:1234/rtp/238.255.2.74:5999
河南卫视,http://10.0.0.1:1234/rtp/238.255.3.173:5999
河南卫视,http://10.0.0.1:1234/rtp/238.255.3.41:5999
湖北卫视,http://10.0.0.1:1234/rtp/238.255.0.119:4384
湖北卫视,http://10.0.0.1:1234/rtp/238.255.2.102:5999
湖北卫视,http://10.0.0.1:1234/rtp/238.255.3.168:5999
湖北卫视,http://10.0.0.1:1234/rtp/238.255.3.84:5999
湖南卫视,http://10.0.0.1:1234/rtp/238.255.0.115:4256
湖南卫视,http://10.0.0.1:1234/rtp/238.255.2.93:5999
湖南卫视,http://10.0.0.1:1234/rtp/238.255.3.160:5999
湖南卫视,http://10.0.0.1:1234/rtp/238.255.3.72:5999
吉林卫视,http://10.0.0.1:1234/rtp/238.255.2.95:5999
吉林卫视,http://10.0.0.1:1234/rtp/238.255.3.169:5999
吉林卫视,http://10.0.0.1:1234/rtp/238.255.3.54:5999
江苏卫视,http://10.0.0.1:1234/rtp/238.255.0.122:4264
江苏卫视,http://10.0.0.1:1234/rtp/238.255.2.104:5999
江苏卫视,http://10.0.0.1:1234/rtp/238.255.3.162:5999
江苏卫视,http://10.0.0.1:1234/rtp/238.255.3.73:5999
江西卫视,http://10.0.0.1:1234/rtp/238.255.0.134:8712
